epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2194,0.82012,2.0498,1.323,0.72876,0.38889,0.64569,0.42765,0.74486,2.48847,1.34325,0.00038,0.00038,0.00038
2,118.327,0.79597,1.32339,1.25618,0.66949,0.619,0.70286,0.43239,1.11508,2.20035,1.87649,0.000764556,0.000764556,0.000764556
3,182.513,0.82191,1.35448,1.30576,0.6876,0.75,0.79732,0.45401,1.10959,3.07275,1.84635,0.00113327,0.00113327,0.00113327
4,247.8,0.90186,1.40217,1.36726,0.45814,0.70833,0.57812,0.32362,1.09114,2.17621,1.79992,0.00148615,0.00148615,0.00148615
5,321.712,0.9136,1.36982,1.36635,0.53991,0.73611,0.6005,0.31543,1.37458,2.25077,1.9501,0.00182318,0.00182318,0.00182318
6,377.76,0.90876,1.33893,1.35852,0.68171,0.63889,0.64963,0.29162,1.47329,2.51639,2.05857,0.001802,0.001802,0.001802
7,438.48,0.91237,1.3149,1.35192,0.68311,0.74851,0.76368,0.47061,1.23775,1.67344,1.90001,0.0017624,0.0017624,0.0017624
8,493.249,0.90589,1.22308,1.35546,0.64641,0.56944,0.57017,0.27155,1.61892,2.3828,2.49209,0.0017228,0.0017228,0.0017228
9,558.126,0.89418,1.18269,1.30439,0.69614,0.59722,0.62897,0.38148,1.15286,2.10374,1.7911,0.0016832,0.0016832,0.0016832
10,621.588,0.84792,1.15843,1.31574,0.62195,0.79977,0.74369,0.45052,1.09265,2.26743,1.77328,0.0016436,0.0016436,0.0016436
11,688.637,0.86189,1.11902,1.29693,0.65594,0.6885,0.72249,0.46414,1.01901,2.06688,1.56882,0.001604,0.001604,0.001604
12,749.976,0.8042,1.05785,1.2867,0.75627,0.73265,0.80951,0.51115,1.02399,1.74943,1.63222,0.0015644,0.0015644,0.0015644
13,795.664,0.86791,1.10607,1.31197,0.81319,0.81944,0.87675,0.61907,0.85421,1.42591,1.48001,0.0015248,0.0015248,0.0015248
14,859.211,0.79931,1.021,1.27972,0.89196,0.80269,0.88442,0.61804,0.9197,1.44284,1.61553,0.0014852,0.0014852,0.0014852
15,950.673,0.79589,1.01421,1.25419,0.80767,0.87486,0.88615,0.5846,0.98735,1.43752,1.71292,0.0014456,0.0014456,0.0014456
16,1056.56,0.7968,0.98888,1.24689,0.78862,0.77725,0.84202,0.54373,0.93003,1.56414,1.53648,0.001406,0.001406,0.001406
17,1157.4,0.76616,0.95605,1.21713,0.67956,0.79167,0.81635,0.52864,0.94828,1.53468,1.53047,0.0013664,0.0013664,0.0013664
18,1233.33,0.72112,0.90934,1.18798,0.80895,0.76389,0.88161,0.58992,0.93458,1.41701,1.52301,0.0013268,0.0013268,0.0013268
19,1300.35,0.75946,0.94293,1.21556,0.84029,0.83333,0.91561,0.63559,0.85799,1.30916,1.40945,0.0012872,0.0012872,0.0012872
20,1379.75,0.74372,0.91485,1.21716,0.94248,0.66667,0.83642,0.56117,0.92433,1.34774,1.43899,0.0012476,0.0012476,0.0012476
21,1544.71,0.74586,0.906,1.23071,0.87035,0.83915,0.90044,0.63895,0.82353,1.14078,1.38844,0.001208,0.001208,0.001208
22,1707.81,0.69968,0.87299,1.18317,0.8589,0.84548,0.87677,0.64184,0.84089,1.05308,1.37065,0.0011684,0.0011684,0.0011684
23,1842.13,0.71855,0.91443,1.20599,0.90267,0.69444,0.85153,0.57852,0.88356,1.19309,1.40049,0.0011288,0.0011288,0.0011288
24,1916.32,0.71754,0.85395,1.19067,0.86202,0.81944,0.8891,0.62675,0.83228,1.12053,1.37247,0.0010892,0.0010892,0.0010892
25,1990.01,0.7133,0.89389,1.20195,0.8231,0.90474,0.92264,0.67398,0.74179,1.06111,1.31239,0.0010496,0.0010496,0.0010496
26,2062.59,0.67325,0.79597,1.17001,0.92566,0.86478,0.94891,0.70344,0.74187,1.14564,1.32514,0.00101,0.00101,0.00101
27,2157.19,0.64512,0.82346,1.16305,0.87899,0.80708,0.91089,0.70169,0.74412,0.92593,1.34654,0.0009704,0.0009704,0.0009704
28,2235.94,0.68268,0.79605,1.17316,0.78638,0.86111,0.88663,0.66772,0.77404,0.99629,1.42089,0.0009308,0.0009308,0.0009308
29,2317.07,0.6319,0.74421,1.15504,0.75258,0.88716,0.91386,0.67681,0.80946,0.96327,1.50943,0.0008912,0.0008912,0.0008912
30,2405.82,0.68342,0.8018,1.18993,0.8513,0.80556,0.92209,0.69037,0.79265,0.96647,1.4731,0.0008516,0.0008516,0.0008516
31,2489.48,0.64379,0.74116,1.14775,0.8154,0.84722,0.90063,0.68287,0.76083,1.02082,1.35887,0.000812,0.000812,0.000812
32,2620.63,0.63929,0.77444,1.1514,0.85839,0.90278,0.92428,0.72184,0.74719,0.91338,1.30852,0.0007724,0.0007724,0.0007724
33,2732.12,0.58874,0.67345,1.10877,0.8707,0.94444,0.96239,0.74287,0.76207,0.83868,1.34046,0.0007328,0.0007328,0.0007328
34,2851.17,0.61383,0.7201,1.15642,0.91149,0.94444,0.97028,0.74223,0.76044,0.80994,1.3493,0.0006932,0.0006932,0.0006932
35,2949.88,0.61964,0.71428,1.13651,0.89838,0.88889,0.9584,0.76779,0.66817,0.78006,1.27502,0.0006536,0.0006536,0.0006536
36,3026.74,0.58578,0.67626,1.1002,0.90273,0.90232,0.94388,0.75573,0.67485,0.80609,1.2901,0.000614,0.000614,0.000614
37,3087.67,0.57771,0.69556,1.11966,0.92257,0.88889,0.95987,0.77137,0.66185,0.76831,1.25887,0.0005744,0.0005744,0.0005744
38,3168.01,0.56562,0.65695,1.09162,0.93782,0.91667,0.96253,0.78907,0.62076,0.75938,1.20855,0.0005348,0.0005348,0.0005348
39,3251.87,0.57327,0.65445,1.09735,0.90499,0.90278,0.96689,0.81185,0.56307,0.74418,1.14958,0.0004952,0.0004952,0.0004952
40,3306.61,0.52385,0.62577,1.08875,0.94036,0.87604,0.96384,0.81754,0.58749,0.74128,1.16418,0.0004556,0.0004556,0.0004556
41,3359.05,0.52401,0.81311,1.10328,0.93817,0.79167,0.93646,0.76846,0.6368,0.74444,1.20215,0.000416,0.000416,0.000416
42,3401.85,0.47269,0.64323,1.0465,0.8946,0.82525,0.92195,0.73794,0.66216,0.79383,1.25143,0.0003764,0.0003764,0.0003764
43,3444.63,0.45419,0.61985,1.02655,0.95442,0.87242,0.95118,0.77763,0.60343,0.78488,1.18665,0.0003368,0.0003368,0.0003368
44,3487.3,0.44206,0.60675,1.0156,0.9686,0.85691,0.96129,0.78593,0.60364,0.79682,1.19387,0.0002972,0.0002972,0.0002972
45,3543.52,0.4365,0.55866,1.03602,0.96268,0.875,0.9667,0.78591,0.59647,0.78158,1.1758,0.0002576,0.0002576,0.0002576
46,3611.29,0.41856,0.56435,1.00085,0.90811,0.94444,0.96935,0.79729,0.57928,0.77138,1.16578,0.000218,0.000218,0.000218
47,3661.59,0.41798,0.53553,1.00624,0.93089,0.93539,0.97407,0.80569,0.5567,0.75543,1.1533,0.0001784,0.0001784,0.0001784
48,3708.59,0.41023,0.54863,1.01028,0.9153,0.93056,0.96843,0.81432,0.56363,0.74859,1.15555,0.0001388,0.0001388,0.0001388
49,3761.61,0.38422,0.50017,0.96719,0.90532,0.93056,0.96978,0.81426,0.57806,0.73755,1.1765,9.92e-05,9.92e-05,9.92e-05
50,3821.73,0.37804,0.52234,0.96574,0.9128,0.93056,0.96979,0.80948,0.57547,0.73032,1.17836,5.96e-05,5.96e-05,5.96e-05
